Designator,Mid X,Mid Y,Rotation,Layer
,194.7,-111.9,180.0,bottom
AE1,214.625,-129.842339,60.0,top
C1,191.6,-129.3,90.0,top
C10,213.55,-124.5,90.0,top
C11,210.55,-125.5,270.0,top
C12,205.625,-129.32,270.0,top
C13,207.65,-119.13,90.0,top
C14,197.05,-115.325,270.0,top
C15,202.79,-122.275,180.0,top
C16,210.1,-127.425,270.0,top
C17,211.075,-127.42,270.0,top
C18,213.55,-122.57,270.0,top
C19,211.55,-123.62,90.0,top
C2,187.225,-110.675,180.0,top
C20,184.3,-112.0,90.0,top
C21,181.9,-112.0,90.0,top
C22,191.5,-135.2,270.0,top
C23,202.79,-121.275,180.0,top
C24,200.98,-125.62,180.0,top
C25,200.98,-124.6,180.0,top
C3,187.225,-108.65,180.0,top
C4,195.3,-108.92,270.0,top
C5,199.5,-108.5,0.0,top
C6,198.025,-115.32,270.0,top
C7,202.62,-127.0,0.0,top
C8,203.2,-128.78,90.0,top
C9,210.1,-129.32,270.0,top
D1,183.6875,-116.6,180.0,top
D2,190.75,-103.2125,270.0,top
D3,211.6,-120.5,180.0,top
IC2,197.55,-118.1625,0.0,top
IC3,197.9,-128.9,0.0,top
IC4,187.275,-113.6,0.0,top
IC5,206.9,-123.25,180.0,top
J1,197.0,-104.35,180.0,top
J2,208.4625,-115.325,180.0,top
J3,195.4,-136.25,0.0,top
J5,180.2,-118.88,0.0,top
L1,191.375,-111.05,90.0,top
L2,212.035,-125.0,180.0,top
L3,212.55,-122.975,90.0,top
Q1,197.8,-121.92,0.0,top
Q2,192.7,-121.3,180.0,top
R1,189.5,-115.11,90.0,top
R10,216.0,-124.5,0.0,top
R11,212.5,-107.7,0.0,top
R12,211.09,-121.8,180.0,top
R13,198.76,-124.25,0.0,top
R14,198.74,-125.25,0.0,top
R15,214.892622,-126.231998,345.0,top
R16,183.9,-115.3,180.0,top
R17,189.375,-102.675,270.0,top
R18,213.7,-119.99,90.0,top
R19,196.8,-125.4,0.0,top
R2,186.785,-116.975,180.0,top
R20,196.81,-124.3,0.0,top
R21,192.2,-125.9,0.0,top
R3,186.79,-115.95,0.0,top
R4,193.2,-116.0,270.0,top
R5,191.1,-116.0,270.0,top
R6,198.025,-108.935,270.0,top
R7,197.025,-108.935,90.0,top
R8,202.2,-128.79,270.0,top
R9,204.2,-107.7,0.0,top
S1,187.4,-134.7,270.0,top
S2,184.9,-123.4,270.0,top
U1,197.55,-112.0375,90.0,top
Y2,207.85,-128.815,180.0,top
